,word,meaning,example
3258,trivial,"commonplace, ordinary",
3259,trivial,specific sense 4,
3260,truculent,aggressively self-assertive : belligerent,
3261,truculent,scathingly harsh : vitriolic,truculent criticism
3262,truculent,"feeling or displaying ferocity : cruel, savage",
3263,truculent,"deadly, destructive",
3264,turbid,thick or opaque with or as if with roiled sediment,a turbid stream
3265,turbid,heavy with smoke or mist,
3266,turbid,"deficient in clarity or purity : foul, muddy",
3267,turbid,characterized by or producing obscurity (as of mind or emotions),an emotionally turbid response
3268,turbulent,exhibiting physical turbulence,turbulent air
3269,turbulent,characterized by agitation or tumult : tempestuous,a turbulent marriage
3270,turbulent,"causing unrest, violence, or disturbance",
3271,turgid,"excessively embellished in style or language : bombastic, pompous",turgid prose
3272,turgid,"being in a state of distension : swollen, tumid",turgid limbs
3273,turpitude,inherent baseness : depravity,moral turpitude
3274,ubiquitous,existing or being everywhere at the same time : constantly encountered : widespread,a ubiquitous fashion
3275,ulterior,going beyond what is openly said or shown and especially what is proper,ulterior motives
3276,ulterior,"further, future",
3277,ulterior,more distant,
3278,ulterior,situated on the farther side,
3279,umbrage,a feeling of pique or resentment at some often fancied slight or insult,took umbrage at the speaker's remarks
3280,umbrage,shady branches : foliage,
3281,umbrage,"shade, shadow",
3282,umbrage,an indistinct indication : vague suggestion : hint,
3283,umbrage,a reason for doubt : suspicion,
3284,unalloyed,"not alloyed : unmixed, unqualified, pure",unalloyed metals
3285,undercut,to cut away the underpart of,undercut a vein of ore
3286,undercut,to cut away material from the underside of (an object) so as to leave an overhanging portion in relief,
3287,undercut,to offer to sell at lower prices than or to work for lower wages than (a competitor),
3288,undercut,to cut obliquely into (a tree) below the main cut and on the side toward which the tree will fall,
3289,undercut,to strike (a ball) with a downward glancing blow so as to give a backspin or elevation to the shot,
3290,undercut,"to undermine or destroy the force, value, or effectiveness of",inflation undercuts consumer buying power
3291,undercut,to perform the action of cutting away beneath,
3292,undercut,tenderloin sense 1,
3293,undercut,the action or result of cutting away from the underside or lower part of something,
3294,undercut,a notch cut in the base of a tree before felling to determine the direction of falling and to prevent splitting,
3295,undermine,to subvert or weaken insidiously or secretly,trying to undermine his political rivals
3296,undermine,to weaken or ruin by degrees,
3297,undermine,to wash away supporting material from under,
3298,undermine,to excavate the earth beneath : form a mine under : sap,
3299,underscore,to draw a line under : underline,
3300,underscore,"to make evident : emphasize, stress",arrived early to underscore the importance of the occasion
3301,underscore,to provide (action on film) with accompanying music,
3302,underscore,a line drawn under a word or line especially for emphasis or to indicate intent to italicize,
3303,underscore,music accompanying the action and dialogue of a film,
3304,understated,avoiding obvious emphasis or embellishment,understated elegance
3305,universal,including or covering all or a whole collectively or distributively without limit or exception,
3306,universal,present or occurring everywhere,
3307,universal,existent or operative everywhere or under all conditions,universal cultural patterns
3308,universal,embracing a major part or the greatest portion (as of humankind),a universal state
3309,universal,comprehensively broad and versatile,a universal genius
3310,universal,affirming or denying something of all members of a class or of all values of a variable,
3311,universal,denoting every member of a class,a universal term
3312,universal,"adapted or adjustable to meet varied requirements (as of use, shape, or size)",a universal gear cutter
3313,universal,one that is universal: such as,
3314,universal,a universal proposition in logic,
3315,universal,a predicable of traditional logic,
3316,universal,a general concept or term or something in reality to which it corresponds : essence,
3317,universal,a behavior pattern or institution (such as the family) existing in all cultures,
3318,universal,a culture trait characteristic of all normal adult members of a particular society,
3319,unprecedented,"having no precedent : novel, unexampled",
3320,unscrupulous,not scrupulous : unprincipled,
3321,unseemly,not seemly: such as,
3322,unseemly,not according with established standards of good form or taste,unseemly bickering
3323,unseemly,"not suitable for time or place : inappropriate, unseasonable",
3324,unseemly,in an unseemly manner,
3325,upbraid,to criticize severely : find fault with,
3326,upbraid,to reproach severely : scold vehemently,
3327,urbane,notably polite or polished in manner,
3328,utilitarian,an advocate or adherent of utilitarianism,
3329,utilitarian,of or relating to or advocating utilitarianism,
3330,utilitarian,marked by utilitarian views or practices,
3331,utilitarian,"of, relating to, or aiming at utility",
3332,utilitarian,exhibiting or preferring mere utility,spare utilitarian furnishings
3333,utterly,"to an absolute or extreme degree : to the full extent : in an utter manner : absolutely, entirely, totally",
3334,vacillate,"to waver in mind, will, or feeling : hesitate in choice of opinions or courses",
3335,vacillate,to sway through lack of equilibrium,
3336,vacillate,"fluctuate, oscillate",
3337,vacuous,emptied of or lacking content,
3338,vacuous,"marked by lack of ideas or intelligence : stupid, inane",a vacuous mind
3339,vacuous,devoid of serious occupation : idle,
3340,valor,strength of mind or spirit that enables a person to encounter danger with firmness : personal bravery,
3341,vanquish,to overcome in battle : subdue completely,
3342,vanquish,to defeat in a conflict or contest,
3343,vanquish,"to gain mastery over (an emotion, passion, or temptation)",vanquish your fear
3344,vapid,"lacking flavor, zest, interest, animation, or spirit : flat, dull","a gossipy, vapid woman, obsessed by her own elegance"
3345,venal,capable of being bought or obtained for money or other valuable consideration : purchasable,
3346,venal,"originating in, characterized by, or associated with corrupt bribery",a venal arrangement with the police
3347,venerate,to regard with reverential respect or with admiring deference,
3348,venerate,"to honor (an icon, a relic, etc.) with a ritual act of devotion",
3349,veracity,conformity with truth or fact : accuracy,
3350,veracity,devotion to the truth : truthfulness,
3351,veracity,power of conveying or perceiving truth,
3352,veracity,something true,makes lies sound like veracities
3353,verbose,containing more words than necessary : wordy,a verbose reply
3354,verbose,given to wordiness,a verbose orator
3355,verisimilitude,the quality or state of being verisimilar,
3356,verisimilitude,something verisimilar,
3357,veritable,"being in fact the thing named and not false, unreal, or imaginary",
3358,versatile,"embracing a variety of subjects, fields, or skills",
3359,versatile,having many uses or applications,versatile building material
3360,versatile,changing or fluctuating readily : variable,a versatile disposition
3361,versatile,capable of turning forward or backward : reversible,a versatile toe of a bird
3362,versatile,capable of moving laterally and up and down,versatile antennae
3363,versatile,having the filaments attached at or near the middle so as to swing freely,
